region,year,category,mode,powertrain,ev_sales,ev_sales_yoy_growth,ev_stock,ev_stock_yoy_growth,total_stations,total_stations_yoy_growth
Brazil,2015,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2016,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2017,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2018,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2019,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2020,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2021,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2022,Historical,Vans,EV,,,,,279.0,0.0
Brazil,2023,Historical,Vans,EV,,,,,279.0,0.0
Bulgaria,2015,Historical,Cars,EV,,,,,,
Bulgaria,2016,Historical,Cars,EV,,,,,,
Bulgaria,2017,Historical,Cars,EV,,,,,,
Bulgaria,2018,Historical,Cars,EV,,,,,,
Bulgaria,2019,Historical,Cars,EV,,,,,,
Bulgaria,2021,Historical,Cars,EV,,,,,,
Bulgaria,2022,Historical,Cars,EV,,,,,,
Bulgaria,2023,Historical,Cars,EV,,,,,,
Canada,2016,Historical,Buses,EV,,,,,257.0,
Canada,2017,Historical,Buses,EV,,,,,257.0,0.0
Canada,2018,Historical,Buses,EV,,,,,257.0,0.0
Canada,2019,Historical,Buses,EV,,,,,257.0,0.0
Canada,2020,Historical,Buses,EV,,,,,257.0,0.0
Canada,2021,Historical,Buses,EV,,,,,257.0,0.0
Canada,2022,Historical,Buses,EV,,,,,257.0,0.0
Canada,2023,Historical,Buses,EV,,,,,257.0,0.0
Canada,2011,Historical,Cars,EV,,,,,257.0,
Canada,2012,Historical,Cars,EV,,,,,257.0,0.0
Canada,2013,Historical,Cars,EV,,,,,257.0,0.0
Canada,2014,Historical,Cars,EV,,,,,257.0,0.0
Canada,2015,Historical,Cars,EV,,,,,257.0,0.0
Canada,2016,Historical,Cars,EV,,,,,257.0,0.0
Canada,2017,Historical,Cars,EV,,,,,257.0,0.0
Canada,2018,Historical,Cars,EV,,,,,257.0,0.0
Canada,2019,Historical,Cars,EV,,,,,257.0,0.0
Canada,2020,Historical,Cars,EV,,,,,257.0,0.0
Canada,2021,Historical,Cars,EV,,,,,257.0,0.0
Canada,2022,Historical,Cars,EV,,,,,257.0,0.0
Canada,2023,Historical,Cars,EV,,,,,257.0,0.0
Canada,2010,Historical,Trucks,EV,,,,,257.0,
Canada,2011,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2012,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2013,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2014,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2015,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2016,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2017,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2018,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2019,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2020,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2021,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2022,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2023,Historical,Trucks,EV,,,,,257.0,0.0
Canada,2015,Historical,Vans,EV,,,,,257.0,
Canada,2016,Historical,Vans,EV,,,,,257.0,0.0
Canada,2017,Historical,Vans,EV,,,,,257.0,0.0
Canada,2018,Historical,Vans,EV,,,,,257.0,0.0
Canada,2019,Historical,Vans,EV,,,,,257.0,0.0
Canada,2020,Historical,Vans,EV,,,,,257.0,0.0
Canada,2021,Historical,Vans,EV,,,,,257.0,0.0
Canada,2022,Historical,Vans,EV,,,,,257.0,0.0
Canada,2023,Historical,Vans,EV,,,,,257.0,0.0
Chile,2011,Historical,Cars,EV,,,,,,
Chile,2012,Historical,Cars,EV,,,,,,
Chile,2013,Historical,Cars,EV,,,,,,
Chile,2014,Historical,Cars,EV,,,,,,
Chile,2015,Historical,Cars,EV,,,,,,
Chile,2016,Historical,Cars,EV,,,,,,
Chile,2017,Historical,Cars,EV,,,,,,
Chile,2018,Historical,Cars,EV,,,,,,
Chile,2019,Historical,Cars,EV,,,,,,
Chile,2020,Historical,Cars,EV,,,,,,
Chile,2021,Historical,Cars,EV,,,,,,
Chile,2022,Historical,Cars,EV,,,,,,
Chile,2023,Historical,Cars,EV,,,,,,
China,2010,Historical,Buses,EV,,,,,319.0,
China,2011,Historical,Buses,EV,,,,,319.0,0.0
China,2012,Historical,Buses,EV,,,,,319.0,0.0
China,2013,Historical,Buses,EV,,,,,319.0,0.0
China,2014,Historical,Buses,EV,,,,,319.0,0.0
China,2015,Historical,Buses,EV,,,,,319.0,0.0
China,2016,Historical,Buses,EV,,,,,319.0,0.0
China,2017,Historical,Buses,EV,,,,,319.0,0.0
China,2018,Historical,Buses,EV,,,,,319.0,0.0
China,2019,Historical,Buses,EV,,,,,319.0,0.0
China,2020,Historical,Buses,EV,,,,,319.0,0.0
China,2021,Historical,Buses,EV,,,,,319.0,0.0
China,2022,Historical,Buses,EV,,,,,319.0,0.0
China,2023,Historical,Buses,EV,,,,,319.0,0.0
China,2010,Historical,Cars,EV,,,,,319.0,
China,2011,Historical,Cars,EV,,,,,319.0,0.0
China,2012,Historical,Cars,EV,,,,,319.0,0.0
