region,ev_stock_2023,total_stations_2025,total_connectors_2025,evs_per_station,evs_per_connector,infrastructure_deficit,deficit_pct,adequacy_category
China,21800760.0,2003,2003,10884.053919121317,10884.053919121317,10854.053919121317,36180.179730404394,Insufficient
USA,4818000.0,2266,2646,2126.21359223301,1820.8616780045352,1790.8616780045352,5969.538926681784,Insufficient
